               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11733,            0.042015,            0.028129,            0.023476,            0.036364,            0.015213,           0.0041223,             0.10379,            0.029253,              0.0251,              0.0015,              0.0015,              0.0865
                   1,            0.096178,            0.044367,            0.022938,             0.73812,             0.20358,             0.19141,            0.073709,            0.085214,            0.027486,            0.017953,           0.0030693,           0.0030693,            0.072069
                   2,            0.083296,            0.042904,            0.015812,             0.41095,             0.40778,             0.32421,            0.085358,            0.079144,            0.021468,            0.011575,           0.0046069,           0.0046069,            0.057607
                   3,            0.082907,            0.036603,            0.010234,             0.24506,              0.3981,             0.26734,             0.10543,            0.086309,            0.019633,           0.0063304,           0.0061129,           0.0061129,            0.043113
                   4,             0.08392,            0.031788,           0.0081548,             0.37461,             0.44264,             0.32242,             0.10413,            0.082183,            0.017286,           0.0048547,           0.0075872,           0.0075872,            0.028587
                   5,            0.079425,            0.029315,           0.0075188,             0.41551,             0.42928,             0.34686,             0.11787,            0.076946,            0.020385,           0.0046423,           0.0090297,           0.0090297,             0.01403
                   6,            0.080199,             0.03072,           0.0069172,             0.58729,             0.50481,             0.45603,             0.18473,            0.068033,            0.019141,           0.0054145,            0.009406,            0.009406,            0.009406
                   7,            0.069319,            0.031616,           0.0061879,             0.36262,             0.58173,             0.46156,             0.18209,            0.067756,            0.019688,           0.0050505,            0.009406,            0.009406,            0.009406
                   8,            0.065327,            0.029914,           0.0054219,             0.46333,             0.59737,             0.51973,             0.22152,              0.0578,            0.018802,           0.0038595,            0.009307,            0.009307,            0.009307
                   9,            0.056125,            0.029897,           0.0045898,             0.49656,              0.6531,             0.55356,             0.25269,              0.0526,             0.01895,           0.0028173,            0.009208,            0.009208,            0.009208
                  10,            0.059136,            0.030295,           0.0043708,             0.41883,             0.65849,             0.52224,             0.24651,            0.059281,            0.017842,           0.0033233,            0.009109,            0.009109,            0.009109
                  11,            0.054158,            0.030561,           0.0037453,              0.5568,             0.67493,             0.64242,             0.30755,            0.053888,            0.016847,           0.0032941,             0.00901,             0.00901,             0.00901
                  12,            0.051652,            0.027885,           0.0040948,             0.57057,             0.73708,              0.6691,             0.31866,            0.046244,             0.01669,           0.0032244,            0.008911,            0.008911,            0.008911
                  13,            0.047335,            0.029162,           0.0039129,             0.63266,             0.71446,             0.70986,             0.35125,            0.045067,            0.015909,           0.0027322,            0.008812,            0.008812,            0.008812
                  14,             0.04662,             0.02843,           0.0033936,             0.60351,             0.73463,             0.68045,             0.36325,            0.042902,            0.015981,           0.0031392,            0.008713,            0.008713,            0.008713
                  15,            0.044562,            0.029705,           0.0029542,             0.71203,             0.71825,             0.74238,             0.42539,            0.039198,            0.015052,             0.00246,            0.008614,            0.008614,            0.008614
                  16,            0.043589,            0.025659,           0.0029003,             0.71585,              0.7685,             0.77401,             0.42932,            0.042269,            0.015992,           0.0028867,            0.008515,            0.008515,            0.008515
                  17,            0.046897,            0.028541,           0.0027657,             0.80473,             0.75753,             0.78514,             0.50346,            0.037417,            0.015308,           0.0026321,            0.008416,            0.008416,            0.008416
                  18,            0.041845,            0.028128,            0.002681,             0.80038,             0.71971,             0.79404,             0.48934,            0.039013,            0.014292,           0.0026619,            0.008317,            0.008317,            0.008317
                  19,            0.041199,            0.025967,           0.0026649,             0.82755,             0.74052,             0.79644,             0.40391,            0.043252,            0.015478,           0.0030464,            0.008218,            0.008218,            0.008218
                  20,            0.041468,            0.026193,            0.002452,             0.79515,             0.73614,             0.80439,             0.47008,            0.038716,             0.01461,           0.0026355,            0.008119,            0.008119,            0.008119
                  21,            0.040309,            0.025314,           0.0025595,             0.81459,             0.76146,             0.81958,             0.48732,            0.038561,            0.015115,           0.0026205,             0.00802,             0.00802,             0.00802
                  22,            0.039315,            0.026513,           0.0021719,             0.80657,             0.74654,             0.80683,             0.48399,            0.038695,            0.015088,           0.0022807,            0.007921,            0.007921,            0.007921
                  23,            0.036525,            0.025898,           0.0021772,             0.84877,             0.76146,             0.81386,             0.55179,            0.034432,            0.014602,           0.0023518,            0.007822,            0.007822,            0.007822
                  24,            0.036656,            0.024589,           0.0022737,              0.8499,             0.73649,             0.81451,             0.48353,            0.040867,            0.014901,           0.0026397,            0.007723,            0.007723,            0.007723
                  25,            0.036829,            0.024139,           0.0022563,             0.80611,             0.79504,             0.81175,              0.4801,            0.041431,             0.01514,           0.0024517,            0.007624,            0.007624,            0.007624
